# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
EXOSC2	EXOSC2	NM_001282708.1	protein_coding	0	0	1	18	1	0	0	1	0	14	1	0	0	0	0	0	0	0	2
EXOSC2	EXOSC2	NM_001282709.1	protein_coding	0	0	1	18	1	0	0	1	0	14	1	0	0	0	0	0	0	0	2
EXOSC2	EXOSC2	NM_014285.7	protein_coding	0	0	1	18	1	0	0	1	0	14	1	0	0	0	0	0	0	0	2
EXOSC2	EXOSC2	NR_104230.1		0	0	0	19	0	0	0	1	0	13	0	3	0	0	0	0	0	0	2
FAM163B	FAM163B	NM_001080515.3	protein_coding	0	0	0	7	1	0	0	1	0	4	0	0	0	0	0	0	0	0	1
FAM163B	FAM163B	NM_001371529.1	protein_coding	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
FAM78A	FAM78A	NM_033387.4	protein_coding	0	0	0	11	0	0	0	1	0	6	0	0	0	0	0	0	0	0	4
FCN1	FCN1	NM_002003.5	protein_coding	0	0	0	11	7	0	0	2	0	1	0	0	0	0	0	0	0	0	1
FCN2	FCN2	NM_004108.3	protein_coding	0	1	1	4	0	0	0	1	0	2	1	0	0	0	1	0	0	0	2
FCN2	FCN2	NM_015837.2	protein_coding	0	1	1	4	0	0	0	1	0	2	1	0	0	0	1	0	0	0	2
FIBCD1	FIBCD1	NM_001145106.1	protein_coding	0	0	0	42	3	0	0	5	0	34	0	0	0	0	0	0	0	0	0
FIBCD1	FIBCD1	NM_032843.5	protein_coding	0	0	0	42	3	0	0	5	0	34	0	0	0	0	0	0	0	0	0
FNBP1	FNBP1	NM_001363755.1	protein_coding	0	1	0	22	0	0	0	1	0	20	0	0	0	0	0	0	0	1	1
FNBP1	FNBP1	NM_015033.3	protein_coding	0	1	0	23	1	0	0	1	0	20	0	0	0	0	0	0	0	1	1
FPGS	FPGS	NM_001018078.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FPGS	FPGS	NM_001288803.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FPGS	FPGS	NM_004957.6	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FPGS	FPGS	NR_110170.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FUBP3	FUBP3	NM_003934.2	protein_coding	0	2	0	35	1	0	0	3	0	27	0	0	0	0	0	0	0	2	4
GAPVD1	GAPVD1	NM_001282679.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001282680.3	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001282681.3	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001330777.3	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001330778.3	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354293.2	protein_coding	0	0	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354294.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354295.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354296.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354297.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354298.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354299.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354300.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_001354301.2	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NM_015635.4	protein_coding	0	0	0	36	4	0	0	0	0	30	0	0	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NR_148732.2		0	0	0	36	0	0	0	0	0	30	0	4	0	0	0	0	0	0	2
GAPVD1	GAPVD1	NR_148733.2		0	0	0	36	0	0	0	0	0	30	0	4	0	0	0	0	0	0	2
GARNL3	GARNL3	NM_001286779.1	protein_coding	0	1	0	33	0	0	0	3	0	28	0	0	0	0	0	0	0	1	2
GARNL3	GARNL3	NM_032293.5	protein_coding	0	1	0	33	0	0	0	3	0	28	0	0	0	0	0	0	0	1	2
GARNL3	GARNL3	NR_104591.1		0	0	0	34	0	0	0	3	0	28	0	1	0	0	0	0	0	0	2
GBGT1	GBGT1	NM_001282629.2	protein_coding	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBGT1	GBGT1	NM_001282632.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GBGT1	GBGT1	NM_001288572.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GBGT1	GBGT1	NM_001288573.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GBGT1	GBGT1	NM_021996.6	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GFI1B	GFI1B	NM_001135031.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GFI1B	GFI1B	NM_001371908.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GFI1B	GFI1B	NM_004188.7	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
GLE1	GLE1	NM_001003722.1	protein_coding	0	0	0	11	0	0	0	3	0	7	0	0	0	0	0	0	0	0	1
GLE1	GLE1	NM_001499.2	protein_coding	0	0	0	9	0	0	0	1	0	7	0	0	0	0	0	0	0	0	1
GOLGA1	GOLGA1	NM_002077.4	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GOLGA2	GOLGA2	NM_001366244.1	protein_coding	0	2	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	2	3
GOLGA2	GOLGA2	NM_001366246.1	protein_coding	0	2	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	2	3
GOLGA2	GOLGA2	NM_004486.5	protein_coding	0	2	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	2	3
GPR107	GPR107	NM_001136557.2	protein_coding	0	0	0	13	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0
GPR107	GPR107	NM_001136558.1	protein_coding	0	0	0	13	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0
GPR107	GPR107	NM_001287346.1	protein_coding	0	0	0	12	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0
GPR107	GPR107	NM_020960.5	protein_coding	0	0	0	13	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0
GPRACR	GPRACR	NR_135124.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GTF3C4	GTF3C4	NM_012204.4	protein_coding	0	0	0	26	0	0	0	1	0	24	0	0	0	0	0	0	0	0	1
GTF3C4	GTF3C4	NR_133925.1		0	0	0	26	0	0	0	1	0	24	0	1	0	0	0	0	0	0	0
GTF3C5	GTF3C5	NM_001122823.2	protein_coding	0	1	1	6	0	0	0	2	0	4	1	0	0	0	0	0	0	1	0
GTF3C5	GTF3C5	NM_001286709.1	protein_coding	0	1	1	6	0	0	0	2	0	4	1	0	0	0	0	0	0	1	0
GTF3C5	GTF3C5	NM_012087.4	protein_coding	0	1	1	6	0	0	0	2	0	4	1	0	0	0	0	0	0	1	0
HMCN2	HMCN2	NM_001291815.2	protein_coding	0	4	3	95	0	0	0	0	0	95	3	0	0	0	1	0	0	4	0
HSPA5	HSPA5	NM_005347.5	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
IER5L	IER5L	NM_203434.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001122671.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001122672.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001287390.2	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352988.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352989.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352990.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352991.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352992.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352993.1	protein_coding	0	0	0	10	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0
KYAT1	KYAT1	NM_001352994.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352995.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352996.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352997.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352998.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_001352999.1	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NM_004059.5	protein_coding	0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NR_109829.2		0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NR_148224.1		0	0	0	21	0	0	0	6	0	14	0	0	0	0	0	0	0	0	1
KYAT1	KYAT1	NR_148225.1		0	0	0	16	0	0	0	6	0	9	0	1	0	0	0	0	0	0	0
LAMC3	LAMC3	NM_006059.4	protein_coding	0	0	2	64	0	0	0	5	0	59	2	0	0	0	0	0	0	0	0
LCN2	LCN2	NM_005564.5	protein_coding	0	0	1	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2
LINC00963	LINC00963	NR_038955.1		0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2
LINC01503	LINC01503	NR_120685.1		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
LINC01503	LINC01503	NR_120686.1		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
LINC02247	LINC02247	NR_146518.1		0	0	0	14	0	0	0	6	0	1	0	2	0	0	0	0	0	0	5
LMX1B	LMX1B	NM_001174146.2	protein_coding	0	0	0	33	2	0	0	1	0	30	0	0	0	0	0	0	0	0	0
LMX1B	LMX1B	NM_001174147.2	protein_coding	0	0	0	33	2	0	0	1	0	30	0	0	0	0	0	0	0	0	0
LMX1B	LMX1B	NM_002316.4	protein_coding	0	0	0	33	2	0	0	1	0	30	0	0	0	0	0	0	0	0	0
LOC100130548	LOC100130548	NR_135126.1		0	0	0	12	0	0	0	3	0	2	0	5	0	0	0	0	0	0	2
LOC100272217	LOC100272217	NR_027440.1		0	0	0	8	0	0	0	3	0	0	0	3	0	0	0	0	0	0	2
LOC100506100	LOC100506100	NR_046240.1		0	0	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6
LOC101448202	LOC101448202	NR_103451.2		0	0	0	16	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
LOC101929116	LOC101929116	NR_121584.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC102723566	LOC102723566	NR_136302.1		0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
LOC105376271	LOC105376271	NR_135145.1		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
LOC51145	LOC51145	NR_122032.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
LRRC8A	LRRC8A	NM_001127244.1	protein_coding	0	0	1	7	0	0	0	1	0	5	1	0	0	0	0	0	0	0	1
LRRC8A	LRRC8A	NM_001127245.2	protein_coding	0	0	1	8	0	0	0	1	0	5	1	0	0	0	0	0	0	0	2
LRRC8A	LRRC8A	NM_019594.3	protein_coding	0	0	1	8	0	0	0	1	0	5	1	0	0	0	0	0	0	0	2
LRSAM1	LRSAM1	NM_001005373.3	protein_coding	0	1	0	26	1	0	0	2	0	18	0	0	0	0	1	0	0	0	6
LRSAM1	LRSAM1	NM_001005374.3	protein_coding	0	1	0	26	1	0	0	2	0	18	0	0	0	0	1	0	0	0	6
LRSAM1	LRSAM1	NM_001190723.3	protein_coding	0	1	0	26	1	0	0	2	0	18	0	0	0	0	1	0	0	0	6
LRSAM1	LRSAM1	NM_138361.5	protein_coding	0	1	0	26	1	0	0	2	0	18	0	0	0	0	1	0	0	0	6
MAPKAP1	MAPKAP1	NM_001006617.3	protein_coding	0	0	0	30	0	0	0	2	0	27	0	0	0	0	0	0	0	0	1
MAPKAP1	MAPKAP1	NM_001006618.2	protein_coding	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1
MAPKAP1	MAPKAP1	NM_001006619.1	protein_coding	0	0	0	30	0	0	0	2	0	27	0	0	0	0	0	0	0	0	1
MAPKAP1	MAPKAP1	NM_001006620.1	protein_coding	0	0	0	30	0	0	0	2	0	27	0	0	0	0	0	0	0	0	1
MAPKAP1	MAPKAP1	NM_001006621.1	protein_coding	0	0	0	30	0	0	0	2	0	27	0	0	0	0	0	0	0	0	1
MAPKAP1	MAPKAP1	NM_024117.3	protein_coding	0	0	0	30	0	0	0	2	0	27	0	0	0	0	0	0	0	0	1
MED22	MED22	NM_133640.5	protein_coding	0	0	0	13	2	0	0	4	0	2	0	0	0	0	0	0	0	0	5
MED22	MED22	NM_181491.2	protein_coding	0	0	0	11	1	0	0	4	0	1	0	0	0	0	0	0	0	0	5
